name,AB_CAE,BN_CAE,DS_CAE,DT_CAE,HT_CAE,Ibk_CAE,J48_CAE,Jrip_CAE,LMT_CAE,LOG_CAE,LB_CAE,MLP_CAE,NB_CAE,ONE_CAE,PART_CAE,RC_CAE,RF_CAE,RS_CAE,RT_CAE,REP_CAE,SGD_CAE,SL_CAE,SVM_CAE,STK_CAE,VOTE_CAE,VP_CAE,ZERO_CAE
2dplanes,0.9191289,0.9177016,0,0.9836378,0.9831467,0.9553286,0.9792207,0.9458334,0.9850419,0.9177793,0,0.8837044,0.7195182,0,0,0,0.978156,0,0.9226335,0.9820652,0.8353035,0,0.8360476,0,0,0,0.5
ada_prior,0.8547692,0.89426,0.7475429,0.8707504,0.760873,0.6938827,0.8196916,0.7433299,0.8920878,0.8882084,0.8818483,0.8530323,0.8827954,0.5936605,0.8247725,0.8428565,0.8764639,0.8824267,0.717878,0.8398204,0.7590853,0.8950169,0.7431175,0.5,0.5,0.5289957,0.5
adult,0.8591324,0.9014929,0.7603404,0.8865595,0.8878542,0.7225224,0.8755087,0.7441978,0.9114852,0.911535,0.8857853,0.8561519,0.9018806,0.5924484,0.8786993,0.806725,0.8748828,0.904521,0.7478418,0.8797686,0.7686008,0.9115953,0.7641699,0.5,0.5,0.5,0.5
adult-census,0.872693,0.9164094,0.7591759,0.8994885,0.8553151,0.7120459,0.8914162,0.7489234,0.9078925,0.9048528,0.8985197,0.870551,0.8921231,0.6053005,0.8811705,0.8778103,0.9042359,0.9111227,0.7547192,0.875552,0.7563949,0.9054352,0.753485,0.5,0.5,0.5744907,0.5
ailerons,0.9299388,0.821681,0.775172,0.9214728,0.8700704,0.8262653,0.8768882,0.8855629,0.9549246,0.951893,0.9287098,0.9519527,0.8460188,0.7822161,0.9133936,0.9337623,0.9506255,0.9273776,0.7978807,0.9268065,0.8706045,0.9527978,0.8744035,0.5,0.5,0.5723618,0.5
analcatdata_apnea1,0.8983352,0.9107239,0.6967189,0.943641,0.9149439,0.8494144,0.912616,0.852773,0.9062041,0.9168507,0.8914151,0.9104627,0.9149439,0.5,0.9293649,0.8163085,0.9254743,0.943646,0.8145955,0.9126354,0.8675087,0.9153504,0.8675087,0.5,0.5,0.5237804,0.5
analcatdata_apnea2,0.941986,0.943162,0.7021196,0.9363871,0.9458769,0.8187185,0.9257937,0.909853,0.9404134,0.9502808,0.9388163,0.9318429,0.9458769,0.5,0.9381873,0.8485191,0.9622483,0.9469077,0.8211866,0.9295684,0.9316784,0.9404134,0.9316784,0.5,0.5,0.5692219,0.5
analcatdata_apnea3,0.9017264,0.9219679,0.6685256,0.8314829,0.9183632,0.8175042,0.8910277,0.787124,0.9118652,0.9335469,0.908485,0.9018888,0.9183632,0.5,0.8898098,0.8180576,0.944376,0.9164956,0.7646817,0.9122542,0.8966667,0.9221088,0.8966667,0.5,0.5,0.5541025,0.5
analcatdata_asbestos,0.8660417,0,0,0.8010416,0.8566667,0.7775,0.7641666,0.7616666,0,0.8454167,0,0.8629167,0.8566667,0,0,0,0.8191666,0,0.7625,0.8293749,0.7716666,0,0.7641666,0,0,0,0.5
analcatdata_authorship,0.9964878,1,0.8627611,0.9770182,0.9972338,0.9939582,0.9533199,0.9658749,0.9998798,0.9998798,0.9975063,0.9998798,0.9971744,0.8676165,0.9656052,0.9993386,0.9998498,0.9983232,0.9125138,0.9553814,0.9920673,0.9998798,0.995553,0.5,0.5,0.9744913,0.5
