name,AB_GR,BN_GR,DS_GR,DT_GR,HT_GR,Ibk_GR,J48_GR,Jrip_GR,LMT_GR,LOG_GR,LB_GR,MLP_GR,NB_GR,ONE_GR,PART_GR,RC_GR,RF_GR,RS_GR,RT_GR,REP_GR,SGD_GR,SL_GR,SVM_GR,STK_GR,VOTE_GR,VP_GR,ZERO_GR
2dplanes,0.9191289,0.9177016,0.8025106,0.9836378,0.9831204,0.9553286,0.9792148,0.9454325,0.9850419,0.9177793,0.9197004,0.8836308,0.7195182,0.8025106,0.9829982,0.9443835,0.9783436,0.9482827,0.9223611,0.9820606,0.8353035,0.9177552,0.8365623,0.5,0.5,0.8378035,0.5
ada_prior,0.8547692,0.89426,0.7475429,0.8707504,0.760873,0.6938827,0.8196336,0.7429833,0.8920878,0.8882084,0.8818483,0.8545811,0.8827954,0.5936605,0.8247738,0.8433769,0.8757415,0.8849923,0.7145778,0.8394573,0.7590853,0.8950169,0.7429717,0.5,0.5,0.5289957,0.5
adult,0.8591324,0.9014929,0.7603404,0.8865595,0.8877298,0.7225224,0.8758993,0.7431163,0.9114852,0.911535,0.8857853,0.8549123,0.9018806,0.5924484,0.8795234,0.8061487,0.8745501,0.9026085,0.7474913,0.8797605,0.7686008,0.9115953,0.7641565,0.5,0.5,0.5,0.5
adult-census,0.872693,0.9164094,0.7591759,0.8994885,0.858105,0.7120459,0.8914562,0.7518298,0.9078682,0.9048528,0.8985197,0.8709769,0.8921231,0.6053005,0.881033,0.8762556,0.9037238,0.907927,0.7591581,0.875538,0.7563949,0.9054352,0.7534414,0.5,0.5,0.5744907,0.5
ailerons,0.9299388,0.821681,0.775172,0.9214728,0.8700701,0.8262653,0.8763561,0.8888731,0.9549246,0.9519164,0.9287098,0.9517897,0.8460188,0.7822161,0.908912,0.9355266,0.9501343,0.927598,0.7910127,0.9270135,0.8706045,0.9527978,0.8744036,0.5,0.5,0.5723618,0.5
analcatdata_apnea1,0.8983352,0.9107239,0.6967189,0.943641,0.9149439,0.8494144,0.912616,0.852773,0.9062041,0.9168507,0.8914151,0.9104627,0.9149439,0.5,0.9293649,0.8163085,0.9254743,0.9391065,0.8145955,0.9126354,0.8675087,0.9153504,0.8675087,0.5,0.5,0.5237804,0.5
analcatdata_apnea2,0.941986,0.943162,0.7021196,0.9363871,0.9458769,0.8187185,0.9257937,0.9231757,0.9404134,0.9502808,0.9388163,0.9318429,0.9458769,0.5,0.9381873,0.8574913,0.9611933,0.9398035,0.8282909,0.9295684,0.9316784,0.9404134,0.9316784,0.5,0.5,0.5692219,0.5
analcatdata_apnea3,0.9017264,0.9219679,0.6685256,0.8314829,0.9183632,0.8175042,0.8910277,0.787124,0.9118652,0.9335469,0.908485,0.9018888,0.9183632,0.5,0.8898098,0.8180576,0.944376,0.9151558,0.7646817,0.9122542,0.8966667,0.9221088,0.8966667,0.5,0.5,0.5541025,0.5
analcatdata_asbestos,0.7866667,0.8008333,0.7358332,0.7727083,0,0,0.764375,0.7716666,0.8229166,0.8620833,0.8333333,0.8491666,0,0.7466666,0.7699999,0.76625,0,0.8102084,0.7625,0.795,0.7716666,0.8229166,0.7841666,0.5,0.5,0,0.5
analcatdata_authorship,0.9964878,1,0.8627611,0.9770182,0.9972338,0.9939582,0.9513067,0.9507836,0.9998798,0.9998798,0.9975063,0.9998798,0.9971744,0.8676165,0.9656052,0.999699,0.9999399,0.9987371,0.9141602,0.9564116,0.9920673,0.9998798,0.995553,0.5,0.5,0.9744913,0.5
analcatdata_bankruptcy,0.9333334,0.9333333,0.8166666,0.8166666,0.8999999,0.8749998,0.8583333,0.8083332,0.95,0.9,0.9000001,0.95,0.8999999,0.5,0.8583333,0.9583333,0.9333332,0.9,0.6,0.5,0.8833332,0.95,0.8499999,0.5,0.5,0.9166666,0.5
analcatdata_birthday,0.9236424,0.8662567,0.9066836,0.7682595,0.9022648,0.8103462,0.7211997,0.7534811,0.9357931,0.7662097,0.93541,0.9157997,0.9209072,0.6783098,0.8710955,0.8514179,0.8969289,0.9210015,0.6985786,0.6109476,0.7097178,0.935148,0.6295062,0.5,0.5,0.5,0.5
analcatdata_bondrate,0.5472222,0.676389,0.5583333,0.5520834,0.5555556,0.4833332,0.6451388,0.5486111,0.45,0.4729167,0.4347223,0.6208332,0.5666666,0.5,0.6145834,0.6208335,0.6333333,0.5576389,0.6131944,0.5,0.6333333,0.45,0.6333334,0.5,0.5,0.5,0.5
analcatdata_boxing1,0.7977232,0.9075893,0.615,0.866875,0.9000446,0.8483928,0.8783482,0.7758929,0.8815625,0.8472321,0.919866,0.8950893,0.9000446,0.7716071,0.7391964,0.9069643,0.9132143,0.8737947,0.8684821,0.8356696,0.8219643,0.8625446,0.7903571,0.5,0.5,0.8429018,0.5
analcatdata_boxing2,0.7887755,0.8455357,0.5619048,0.8641794,0.8410714,0.7899021,0.8428996,0.8122024,0.8309948,0.8407737,0.8099276,0.815221,0.8410714,0.8294642,0.8494899,0.8550594,0.8526785,0.8580357,0.7263392,0.8497449,0.791369,0.8098851,0.8294642,0.5,0.5,0.7732143,0.5
analcatdata_broadway,1,1,1,1,1,0.7916667,1,0.975,1,1,1,1,1,0.975,1,1,1,1,0.7738095,1,1,1,1,0.5,0.5,0.5285715,0.5
analcatdata_broadwaymult,0.8190257,0.7826288,0.7245654,0.8094002,0.8096647,0.3840226,0.7851576,0.7712777,0.8248941,0.4496464,0.8266962,0.8536151,0.8101856,0.7496437,0.7617117,0.7278536,0.6058851,0.804409,0.6140194,0.5,0.7690173,0.8275094,0.7719474,0.5,0.5,0.5,0.5
analcatdata_creditscore,0.9928571,0.9928571,0.9928571,0.9928571,0.9904762,0.7017857,0.9928571,0.9928571,0.9928571,0.9904762,0.9928571,0.9095239,0.9794643,0.9928571,0.9928571,0.9833333,0.9904762,0.9952381,0.9833333,0.9803571,0.6619047,0.9928571,0.6119047,0.5,0.5,0.9928571,0.5
analcatdata_cyyoung8092,0.8346725,0.8023809,0.6660713,0.6391368,0.5375,0.5708331,0.6930059,0.6764879,0.8476191,0.8324405,0.8412202,0.7586309,0.8056549,0.5589286,0.6836309,0.7361607,0.8026786,0.7647321,0.5998512,0.5784226,0.6919643,0.8476191,0.5755952,0.5,0.5,0.5,0.5
analcatdata_cyyoung9302,0.8763393,0.8357143,0.6883928,0.7410713,0.5,0.6633928,0.7294643,0.7294643,0.9196428,0.8714285,0.8848215,0.9035714,0.9102678,0.7589285,0.7799106,0.7392857,0.8142857,0.809375,0.5232143,0.6633929,0.8187499,0.9196428,0.7651785,0.5,0.5,0.734375,0.5
analcatdata_dmft,0.5500324,0.5542512,0.4956252,0.5,0.5,0.4810246,0.5,0.5,0.4977005,0.5459572,0.562075,0.5529345,0.5527931,0.5,0.5200014,0.4726372,0.4623508,0.5,0.4555358,0.5042187,0.5,0.4977005,0.5,0.5,0.5,0.5010505,0.5
analcatdata_draft,0.6063207,0.5763741,0.5840017,0.5,0.5340909,0.5377449,0.5,0.5106952,0.4916887,0.5712567,0.6061275,0.4836006,0.5985295,0.5426024,0.6225565,0.5637552,0.5679291,0.5547832,0.5869727,0.5379679,0.5,0.4916887,0.5,0.5,0.5,0.5,0.5
analcatdata_election2000,0.99,1,0.955,0.965,1,0.955,0.885,0.93,1,0.965,0.99,0.99,0.99,0.54,0.885,1,1,0.99,0.815,0.79,0.895,1,0.85,0.5,0.5,0.6875,0.5
analcatdata_gsssexsurvey,0.5728097,0.6396101,0.5400642,0.5253204,0.5,0.5461538,0.525454,0.4919871,0.5272436,0.6067842,0.6123397,0.6000535,0.5532052,0.5336537,0.5184294,0.5427082,0.5337873,0.5071313,0.4946312,0.5,0.5544871,0.5272436,0.5294871,0.5,0.5,0.5,0.5
analcatdata_gviolence,0.9766666,0.9833333,0.9775,0.9775,0.9833333,0.9483333,0.9775,0.9775,0.9808333,1,0.9683333,1,0.975,0.5,0.9775,0.9416667,0.9833333,0.9875,0.7508333,0.64,0.9875,0.9808333,0.9875,0.5,0.5,0.5958333,0.5
