name,AB_RL,BN_RL,DS_RL,DT_RL,HT_RL,Ibk_RL,J48_RL,Jrip_RL,LMT_RL,Log_RL,LB_RL,MLP_RL,NB_RL,ONE_RL,PART_RL,RC_RL,RF_RL,RS_RL,RT_RL,REP_RL,SGD_RL,SL_RL,SVM_RL,STK_RL,VOTE_RL,VP_RL,ZERO_RL
2dplanes,0.9191289,0,0.8025106,0.9836378,0.9831204,0.9553286,0.9792165,0.943194,0.9850419,0.9177793,0.9197004,0.8837942,0.7195182,0.8025106,0.9830268,0.9449413,0.8363905,0.9429324,0.9244571,0.9820808,0.8353035,0,0.8363905,0,0.5,0.8378035,0
ada_prior,0.8547692,0.89426,0.7475429,0.8707504,0.760873,0.6938827,0.8196336,0.7481261,0.8920878,0.8882084,0.8818483,0.8498753,0.8827954,0.5936605,0.8280518,0.8404776,0.7434103,0.8823413,0.7184966,0.8375106,0.7590853,0.8950169,0.7434103,0.5,0.5,0.5289957,0.5
adult,0.8591324,0.9014929,0.7603404,0.8865595,0.8877298,0.7225224,0.8759016,0.7329288,0.9114852,0.911535,0.8857853,0.8521754,0.9018806,0.5924484,0.8802292,0.805675,0.7641405,0.9050778,0.7516389,0.879804,0.7686008,0.9115953,0.7641405,0.5,0.5,0.5,0.5
adult-census,0.872693,0.9164094,0.7591759,0.8994885,0.858105,0.7120459,0.8913874,0.7515842,0.9078978,0.9048528,0.8985197,0.8695684,0.8921231,0.6053005,0.88095,0.8759433,0.753418,0.910325,0.7537177,0.8756402,0.7563949,0.9054352,0.753418,0.5,0.5,0.5744907,0.5
ailerons,0.9299388,0.821681,0.775172,0.9214728,0.8700701,0.8262653,0.8762397,0.8873085,0.9549368,0.9519058,0.9287098,0.9518453,0.8460188,0.7822161,0.9122585,0.9365331,0.8746157,0.9355012,0.8057032,0.9285956,0.8706045,0.9527978,0.8746157,0.5,0.5,0.5723618,0.5
analcatdata_apnea1,0.8983352,0.9107239,0.6967189,0.943641,0.9149439,0.8494144,0.912616,0.852773,0.9062041,0.9168507,0.8914151,0.9104627,0.9149439,0.5,0.9293649,0.8163085,0.8675087,0.943646,0.8145955,0.9126354,0.8675087,0.9153504,0.8675087,0.5,0.5,0.5237804,0.5
analcatdata_apnea2,0.941986,0.943162,0.7021196,0.9363871,0.9458769,0.8187185,0.9257937,0.9237903,0.9404134,0.9502808,0.9388163,0.9318429,0.9458769,0.5,0.9381873,0.858101,0.9316784,0.9472562,0.8211866,0.9295684,0.9316784,0.9404134,0.9316784,0.5,0.5,0.5692219,0.5
analcatdata_apnea3,0.9017264,0.9219679,0.678141,0.8314829,0.9183632,0.8175042,0.8910277,0.7876966,0.9118652,0.9335469,0.908485,0.9018888,0.9183632,0.5,0.8898098,0.8215128,0.8966667,0.9164956,0.7546817,0.9122542,0.8966667,0.9221088,0.8966667,0.5,0.5,0.5541025,0.5
analcatdata_asbestos,0.8660417,0,0.7491666,0.8010416,0.8566667,0.7775,0.7641666,0.7579166,0,0.8454167,0.8333333,0.8629167,0.8566667,0,0,0.76625,0.7641666,0,0.73,0.8293749,0.7716666,0,0.7641666,0,0.5,0.5,0
analcatdata_authorship,0.9964878,1,0.8627611,0.9770182,0.9972338,0.9939582,0.9513067,0.9510096,0.9998798,0.9998798,0.9975063,0.9998798,0.9971744,0.8676165,0.9656052,0.9997296,0.995553,0.9986804,0.9284564,0.9581158,0.9920673,0.9998798,0.995553,0.5,0.5,0.9744913,0.5
