dataset,#Instances,Log#Instances,#Features,Log#Features,Dimensionality,LogDimensionality,InverseDimensionality,LogInverseDimensionality,#Classes,#CategoricalFeatures,%CategoricalFeatures,#NumericFeatures,%NumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,#BinaryFeatures,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,#MissingValues,%MissingValues,#InstancesWithMissingValues,%InstancesWithMissingValues,#FeaturesWithMissingValues,%FeaturesWithMissingValues,MajorityClassSize,MajorityClassPercentage,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,MeanSTDOfNumerical,STDSTDOfNumerical,MeanMeansOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,EquivalentNumberOfAttributes,NoiseToSignalRatio,ITFeatureTime,TotalFeatureTime,DecisionTreeGiniDepth1Accuracy,DecisionTreeGiniDepth1TimeSum,DecisionTreeGiniDepth1TimeMean,DecisionTreeEntropyDepth1Accuracy,DecisionTreeEntropyDepth1TimeSum,DecisionTreeEntropyDepth1TimeMean,DecisionTreeGiniDepth2Accuracy,DecisionTreeGiniDepth2TimeSum,DecisionTreeGiniDepth2TimeMean,DecisionTreeEntropyDepth2Accuracy,DecisionTreeEntropyDepth2TimeSum,DecisionTreeEntropyDepth2TimeMean,DecisionTreeGiniDepth4Accuracy,DecisionTreeGiniDepth4TimeSum,DecisionTreeGiniDepth4TimeMean,DecisionTreeEntropyDepth4Accuracy,DecisionTreeEntropyDepth4TimeSum,DecisionTreeEntropyDepth4TimeMean,DecisionTreeGiniAccuracy,DecisionTreeGiniTimeSum,DecisionTreeGiniTimeMean,GaussianNBAccuracy,GaussianNBTimeSum,GaussianNBTimeMean,1NNAccuracy,1NNTimeSum,1NNTimeMean
2dplanes.arff,40768,10.61565274,11,2.397895273,0.000269819,-8.217757466,3706.181818,8.217757466,2,0,0,10,100,0,0,0.499116954,0.500883046,0.5,0.000883046,0,0,0,0,0,0,0,0,0,0,0,0,20420,50.08830455,0.019453609,-1.99973759,-1.492667157,-1.550265735,0.149877062,-0.016189743,0.010294566,-0.003820797,0.007042678,0.834930646,0.055013772,0.002006476,0.029437401,-1,-1,-1,-1,-1,-1,0.04889101,0.803519745,0.153849312,0.015384931,0.803519745,0.16024516,0.016024516,0.808020603,0.228728339,0.022872834,0.808020603,0.206376426,0.020637643,0.906181015,0.324108659,0.032410866,0.906181015,0.312068186,0.031206819,0.907088545,0.488055452,0.048805545,0.808400785,0.165765437,0.016576544,0.894616139,14.38803635,1.438803635
ada_prior.arff,4562,8.425516403,15,2.708050201,0.003288032,-5.717466202,304.1333333,5.717466202,2,8,57.14285714,6,42.85714286,0.75,1.333333333,0.248136782,0.751863218,0.5,0.251863218,1,2,127,23,39.54743987,184,88,0.128598568,88,1.928978518,1,0.02192021,3430,75.18632179,0.007351948,-0.052035011,121.5648289,24.60796421,43.77406969,-0.287882268,10.74958706,2.830938024,3.847208281,19479.01094,39702.33317,32078.86992,0.007907371,0.808311616,7.8102,0.049505753,16.3276301,156.7635171,0.016402535,0.031661855,0.751369113,0.025382855,0.002538285,0.751369113,0.033771434,0.003377143,0.826834611,0.037617154,0.003761715,0.826286966,0.043819966,0.004381997,0.844797371,0.075983556,0.007598356,0.845235487,0.081437514,0.008143751,0.800219058,0.191857275,0.019185727,0.791128149,0.028064832,0.002806483,0.682365827,0.208589432,0.020858943
adult-census.arff,32561,10.39087053,16,2.772588722,0.000491385,-7.61828181,2035.0625,7.61828181,2,8,53.33333333,7,46.66666667,0.875,1.142857143,0.240809557,0.759190443,0.5,0.259190443,1,2,1857,545.125,779.5223598,4361,4262,0.818079912,2399,7.367709837,3,0.009213476,24720,75.91904426,0.032873758,-1.199999555,154.7754803,26.2199391,52.92467792,-0.311661005,11.95329571,2.638473646,4.102504771,17537.85585,36115.73918,29616.0713,0.019015035,0.796383955,9.36487,0.049999172,15.92794284,186.3004646,0.059031125,0.110919917,0.759250729,0.233464235,0.023346423,0.759250729,0.293791346,0.029379135,0.826715799,0.380357934,0.038035793,0.818409335,0.500484761,0.050048476,0.842607094,0.65554716,0.065554716,0.842008291,0.883387297,0.08833873,0.809550131,1.841359921,0.184135992,0.794580071,0.138687497,0.01386875,0.697558729,2.407611146,0.240761115
adult.arff,48842,10.79634588,15,2.708050201,0.000307113,-8.088295676,3256.133333,8.088295676,2,12,85.71428571,2,14.28571429,0.166666667,6,0.239281766,0.760718234,0.5,0.260718234,1,2,2823,548.6666667,1042.554182,6584,6465,0.882437247,3620,7.411653904,3,0.006142255,37155,76.07182343,0.043735093,0.625558139,6.057106155,3.341332147,2.715774008,-0.316515356,1.438848019,0.561166331,0.877681687,52802.67189,52800.10155,94837.18748,0.007905003,0.793843839,9.59183,0.046578424,17.04316653,204.9286329,0.117393137,0.169033233,0.760671512,0.214695133,0.021469513,0.760671512,0.239155047,0.023915505,0.82887706,0.333958233,0.033395823,0.82887706,0.372079491,0.037207949,0.840464735,0.574335447,0.057433545,0.840474972,1.007436032,0.100743603,0.799170847,2.398170934,0.239817093,0.772719828,0.294536646,0.029453665,0.695383356,2.141066696,0.21410667
ailerons.arff,13750,9.528794103,41,3.713572067,0.002981818,-5.815222036,335.3658537,5.815222036,2,0,0,40,100,0,0,0.423854545,0.576145455,0.5,0.076145455,0,0,0,0,0,0,0,0,0,0,0,0,7922,57.61454545,0.023621056,-0.616487729,6871.999571,916.5298201,2054.709586,-75.96553802,2.365929842,-4.55741125,16.77928019,7.591002413,40.67937254,-0.850399999,0.105225947,-1,-1,-1,-1,-1,-1,0.128847003,0.777636364,0.169900119,0.016990012,0.752072727,0.185526562,0.018552656,0.778509091,0.263811944,0.026381194,0.752072727,0.29260905,0.029260905,0.841890909,0.530118356,0.053011836,0.831090909,0.544742512,0.054474251,0.832690909,1.45310488,0.145310488,0.731054545,0.118846632,0.011884663,0.669709091,0.919295154,0.091929515
analcatdata_apnea1.arff,475,6.163314804,4,1.386294361,0.008421053,-4.777020443,118.75,4.777020443,2,2,66.66666667,1,33.33333333,0.5,2,0.128421053,0.871578947,0.5,0.371578947,0,5,5,5,0,10,0,0,0,0,0,0,414,87.15789474,0.001968257,-1.206666667,-1.206666667,-1.206666667,0,0,0,0,0,5.47722578,0,10,0.001172033,0.55309196,5.83373,0.086806335,6.371562195,66.20397447,0.002002995,0.005143285,0.873684211,0.004518385,0.000451839,0.873684211,0.00431548,0.000431548,0.889473684,0.004661682,0.000466168,0.881052632,0.004711421,0.000471142,0.881052632,0.00535448,0.000535448,0.883157895,0.005640678,0.000564068,0.907368421,0.00590635,0.000590635,0.873684211,0.00768157,0.000768157,0.816842105,0.016485039,0.001648504
analcatdata_apnea2.arff,475,6.163314804,4,1.386294361,0.008421053,-4.777020443,118.75,4.777020443,2,2,66.66666667,1,33.33333333,0.5,2,0.134736842,0.865263158,0.5,0.365263158,0,5,5,5,0,10,0,0,0,0,0,0,411,86.52631579,0.002267877,-1.206666667,-1.206666667,-1.206666667,0,0,0,0,0,5.47722578,0,10,0.001391912,0.570287337,5.83373,0.104510287,5.456757918,54.81967914,0.002274193,0.005933982,0.863157895,0.005156312,0.000515631,0.863157895,0.004689709,0.000468971,0.878947368,0.00515868,0.000515868,0.863157895,0.005140522,0.000514052,0.891578947,0.005391982,0.000539198,0.893684211,0.005354085,0.000535408,0.922105263,0.005756737,0.000575674,0.863157895,0.007594329,0.000759433,0.813684211,0.023019841,0.002301984
analcatdata_apnea3.arff,450,6.109247583,4,1.386294361,0.008888889,-4.722953222,112.5,4.722953222,2,2,66.66666667,1,33.33333333,0.5,2,0.122222222,0.877777778,0.5,0.377777778,0,5,5,5,0,10,0,0,0,0,0,0,395,87.77777778,0.001914965,-1.207430312,-1.207430312,-1.207430312,0,0,0,0,0,5.188127518,0,9.5,0.001251773,0.53571502,5.77966,0.081502212,6.573012053,69.9141988,0.002052735,0.005219473,0.877777778,0.004952617,0.000495262,0.877777778,0.004333244,0.000433324,0.874444444,0.006337029,0.000633703,0.876666667,0.00516697,0.000516697,0.872222222,0.00714707,0.000714707,0.896666667,0.009663644,0.000966364,0.901111111,0.009936815,0.000993682,0.877777778,0.009446133,0.000944613,0.814444444,0.018912793,0.001891279
analcatdata_authorship.arff,841,6.73459166,71,4.262679877,0.084423306,-2.471911783,11.84507042,2.471911783,2,0,0,70,100,0,0,0.376932224,0.623067776,0.5,0.123067776,0,0,0,0,0,0,0,0,0,0,0,0,524,62.30677765,0.005372638,-0.792696848,21.09857661,2.338001114,3.612692828,-0.040636204,4.079894066,1.112712964,0.676602981,5.353340988,4.711598098,10.12524199,0.062809341,-1,-1,-1,-1,-1,-1,0.06818198,0.855029586,0.019081354,0.001908135,0.855029586,0.023096819,0.002309682,0.94556213,0.038705498,0.00387055,0.929585799,0.045501234,0.004550123,0.956213018,0.061045963,0.006104596,0.955029586,0.072206524,0.007220652,0.952662722,0.0888921,0.00888921,0.989940828,0.013443044,0.001344304,0.993491124,0.135064026,0.013506403
analcatdata_birthday.arff,365,5.899897354,4,1.386294361,0.010958904,-4.513602992,91.25,4.513602992,2,2,66.66666667,1,33.33333333,0.5,2,0.145205479,0.854794521,0.5,0.354794521,0,31,41,36,5,72,30,2.054794521,30,8.219178082,1,0.273972603,312,85.47945205,0.001947729,-0.694118964,-0.694118964,-0.694118964,0,-0.330083668,-0.330083668,-0.330083668,0,816.7608643,0,9132.162109,0.001202824,0.597710801,5.62676,0.006885752,86.80399483,816.1600213,0.002140371,0.005290924,0.828767123,0.004637602,0.00046376,0.826027397,0.004705894,0.000470589,0.867123288,0.004877614,0.000487761,0.861643836,0.005448432,0.000544843,0.861643836,0.005144074,0.000514407,0.869863014,0.005641468,0.000564147,0.864383562,0.005641468,0.000564147,0.882191781,0.007604198,0.00076042,0.854794521,0.015261688,0.001526169
