dataset,NumberOfInstances,LogNumberOfInstances,NumberOfFeatures,LogNumberOfFeatures,Dimensionality,LogDimensionality,InverseDimensionality,LogInverseDimensionality,NumberOfClasses,NumberOfCategoricalFeatures,PercentageOfCategoricalFeatures,NumberOfNumericFeatures,PercentageOfNumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,NumberOfBinaryFeatures,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,MajorityClassSize,MajorityClassPercentage,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,MeanSTDOfNumerical,STDSTDOfNumerical,MeanMeansOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,EquivalentNumberOfAttributes,NoiseToSignalRatio,ITFeatureTime,TotalFeatureTime
2dplanes.arff,40768,10.61565274,11,2.397895273,0.000269819,-8.217757466,3706.181818,8.217757466,2,0,0,10,100,0,0,0.499116954,0.500883046,0.5,0.000883046,0,0,0,0,0,0,0,0,0,0,0,0,20420,50.08830455,0.017355491,-1.99973759,-1.492667157,-1.550265735,0.149877062,-0.016189743,0.010294566,-0.003820797,0.007042678,0.834930646,0.055013772,0.002006476,0.020275509,-1,-1,-1,-1,-1,-1,0.037631
ada_prior.arff,4562,8.425516403,15,2.708050201,0.003288032,-5.717466202,304.1333333,5.717466202,2,8,57.14285714,6,42.85714286,0.75,1.333333333,0.248136782,0.751863218,0.5,0.251863218,1,2,127,23,39.54743987,184,88,0.128598568,88,1.928978518,1,0.02192021,3430,75.18632179,0.005934382,-0.052035011,121.5648289,24.60796421,43.77406969,-0.287882268,10.74958706,2.830938024,3.847208281,19479.01094,39702.33317,32078.86992,0.006973777,0.808311616,7.8102,0.049505753,16.3276301,156.7635171,0.014840889,0.027749048
adult-census.arff,32561,10.39087053,16,2.772588722,0.000491385,-7.61828181,2035.0625,7.61828181,2,8,53.33333333,7,46.66666667,0.875,1.142857143,0.240809557,0.759190443,0.5,0.259190443,1,2,1857,545.125,779.5223598,4361,4262,0.818079912,2399,7.367709837,3,0.009213476,24720,75.91904426,0.028460006,-1.199999555,154.7754803,26.2199391,52.92467792,-0.311661005,11.95329571,2.638473646,4.102504771,17537.85585,36115.73918,29616.0713,0.014676276,0.796383955,9.36487,0.049999172,15.92794284,186.3004646,0.05088773,0.094024011
adult.arff,48842,10.79634588,15,2.708050201,0.000307113,-8.088295676,3256.133333,8.088295676,2,12,85.71428571,2,14.28571429,0.166666667,6,0.239281766,0.760718234,0.5,0.260718234,1,2,2823,548.6666667,1042.554182,6584,6465,0.882437247,3620,7.411653904,3,0.006142255,37155,76.07182343,0.053478125,0.625558139,6.057106155,3.341332147,2.715774008,-0.316515356,1.438848019,0.561166331,0.877681687,52802.67189,52800.10155,94837.18748,0.007826452,0.793843839,9.59183,0.046578424,17.04316653,204.9286329,0.105106813,0.16641139
ailerons.arff,13750,9.528794103,41,3.713572067,0.002981818,-5.815222036,335.3658537,5.815222036,2,0,0,40,100,0,0,0.423854545,0.576145455,0.5,0.076145455,0,0,0,0,0,0,0,0,0,0,0,0,7922,57.61454545,0.021811508,-0.616487729,6871.999571,916.5298201,2054.709586,-75.96553802,2.365929842,-4.55741125,16.77928019,7.591002413,40.67937254,-0.850399999,0.058249553,-1,-1,-1,-1,-1,-1,0.080061061
analcatdata_apnea1.arff,475,6.163314804,4,1.386294361,0.008421053,-4.777020443,118.75,4.777020443,2,2,66.66666667,1,33.33333333,0.5,2,0.128421053,0.871578947,0.5,0.371578947,0,5,5,5,0,10,0,0,0,0,0,0,414,87.15789474,0.001853779,-1.206666667,-1.206666667,-1.206666667,0,0,0,0,0,5.47722578,0,10,0.001139663,0.55309196,5.83373,0.086806335,6.371562195,66.20397447,0.001913782,0.004907224
analcatdata_apnea2.arff,475,6.163314804,4,1.386294361,0.008421053,-4.777020443,118.75,4.777020443,2,2,66.66666667,1,33.33333333,0.5,2,0.134736842,0.865263158,0.5,0.365263158,0,5,5,5,0,10,0,0,0,0,0,0,411,86.52631579,0.001821014,-1.206666667,-1.206666667,-1.206666667,0,0,0,0,0,5.47722578,0,10,0.001136505,0.570287337,5.83373,0.104510287,5.456757918,54.81967914,0.001881412,0.004838931
analcatdata_apnea3.arff,450,6.109247583,4,1.386294361,0.008888889,-4.722953222,112.5,4.722953222,2,2,66.66666667,1,33.33333333,0.5,2,0.122222222,0.877777778,0.5,0.377777778,0,5,5,5,0,10,0,0,0,0,0,0,395,87.77777778,0.002003787,-1.207430312,-1.207430312,-1.207430312,0,0,0,0,0,5.188127518,0,9.5,0.001147164,0.53571502,5.77966,0.081502212,6.573012053,69.9141988,0.002388675,0.005539625
analcatdata_asbestos.arff,83,4.418840608,4,1.386294361,0.048192771,-3.032546247,20.75,3.032546247,2,2,66.66666667,1,33.33333333,0.5,2,0.445783133,0.554216867,0.5,0.054216867,1,2,3,2.5,0.5,5,0,0,0,0,0,0,46,55.42168675,0.001731009,-1.238292728,-1.238292728,-1.238292728,0,0.024626598,0.024626598,0.024626598,0,75.42534637,0,147.0722961,0.001168875,0.991501787,3.75329,0.151774657,6.532722964,23.72936345,0.002000628,0.004900513
analcatdata_authorship.arff,841,6.73459166,71,4.262679877,0.084423306,-2.471911783,11.84507042,2.471911783,2,0,0,70,100,0,0,0.376932224,0.623067776,0.5,0.123067776,0,0,0,0,0,0,0,0,0,0,0,0,524,62.30677765,0.003711505,-0.792696848,21.09857661,2.338001114,3.612692828,-0.040636204,4.079894066,1.112712964,0.676602981,5.353340988,4.711598098,10.12524199,0.061083118,-1,-1,-1,-1,-1,-1,0.064794624
