name,AB_CFS,BN_CFS,DS_CFS,DT_CFS,HT_CFS,Ibk_CFS,J48_CFS,Jrip_CFS,LMT_CFS,LOG_CFS,LB_CFS,MLP_CFS,NB_CFS,ONE_CFS,PART_CFS,RC_CFS,RF_CFS,RS_CFS,RT_CFS,REP_CFS,SGD_CFS,SL_CFS,SVM_CFS,STK_CFS,VOTE_CFS,VP_CFS,ZERO_CFS
2dplanes.arff,0.9199,0.9089121,0.8025106,0.9673807,0.9767,0.9798,0.9765,0.9397,0,0.9142,0.9117971,0.9046,0.7143,0.8025106,0.9642987,0,0.9797,0.930513,0.97101,0.9772,0.827,0,0.8287,0,0.5,0,0.5
ada_prior.arff,0.887,0.8864096,0.7475429,0.8725382,0.7745,0.7846,0.8611,0.7556,0,0.8844,0.8796193,0.833,0.8719,0.5936605,0.8753114,0.8092797,0.8601,0.8864655,0.7607443,0.8593,0.7507,0.8869038,0.729,0.5,0.5,0.6152834,0.5
adult.arff,0.8825,0.8849733,0.7603404,0.8866261,0.8707,0.8855,0.8617,0.709,0,0.8891,0.8777341,0.8449,0.8847,0.5924484,0.8821733,0.8855548,0.8878,0.8832491,0.8845049,0.8794,0.7493,0.8888187,0.7447,0.5,0.5,0.7477211,0.5
adult-census.arff,0.891,0.90027,0.7591759,0.8994885,0.8154,0.8905,0.8784,0.7274,0,0.8862,0.8856482,0.856,0.8694,0.6053005,0.8974191,0.9020039,0.9023,0.9029901,0.8976346,0.8947,0.7504,0.8822332,0.7373,0.5,0.5,0.7319288,0.5
ailerons.arff,0.9286,0.9215594,0.775172,0.9230967,0.8763,0.8543,0.9115,0.8704,0,0.9314,0.9166029,0.929,0.9122,0.7822161,0.923589,0.8616676,0.9061,0.9116663,0.8390784,0.9176,0.8422,0.9313928,0.8497,0.5,0.5,0.8370001,0.5
analcatdata_apnea1.arff,0.919,0.9107239,0.6967189,0.943641,0.9138,0.9507,0.9247,0.832,0,0.9181,0.9072153,0.9209,0.9138,0.5,0.9288956,0.9376499,0.944,0.5,0.9376499,0.9317,0.8201,0.9087349,0.8201,0.5,0.5,0.8612418,0.5
analcatdata_apnea2.arff,0.9446,0.943162,0.7021196,0.9363871,0.937,0.9484,0.9455,0.8855,0,0.9418,0.9388163,0.9311,0.937,0.5,0.9508759,0.9438977,0.9439,0.5,0.9438977,0.9512,0.9312,0.9404133,0.9312,0.5,0.5,0.9180363,0.5
analcatdata_apnea3.arff,0.9124,0.9219679,0.6685256,0.8314829,0.9014,0.8988,0.8877,0.8064,0,0.911,0.9164764,0.8852,0.9014,0.5,0.9060812,0.8996986,0.891,0.5,0.8996986,0.8815,0.8411,0.9061751,0.8411,0.5,0.5,0.800079,0.5
analcatdata_authorship.arff,0.9994,1,0.8627611,0.9819541,0.996,0.9935,0.9657,0.9516,0,0.9955,0.9972709,0.9997,0.9979,0.8676165,0.9568262,0.9996697,0.9997,0.9984358,0.9413116,0.9521,0.9924,0.9997006,0.9934,0.5,0.5,0.9535507,0.5
analcatdata_birthday.arff,0.9085,0.9054504,0.9066836,0.7682595,0.9213,0.6817,0.896,0.6893,0,0.8875,0.9216533,0.9354,0.9378,0.6783098,0.8705881,0.6983771,0.8981,0.9212366,0.6983771,0.8958,0.7714,0.9408938,0.5675,0.5,0.5,0.5,0.5
analcatdata_boxing1.arff,0.8776,0.8926339,0.615,0.856875,0.877,0.8187,0.8468,0.7665,0,0.8436,0.8575,0.8103,0.877,0.7716071,0.7071428,0.8713393,0.8367,0.8843303,0.8713393,0.8443,0.7683,0.9098214,0.7701,0.5,0.5,0.8250893,0.5
analcatdata_boxing2.arff,0.8462,0.852721,0.5619048,0.8641794,0.8441,0.8245,0.8291,0.7667,0,0.8456,0.8223426,0.8146,0.8441,0.8294642,0.8450256,0.8373937,0.8363,0.85034,0.8373937,0.8459,0.8289,0.8401359,0.8289,0.5,0.5,0.8205358,0.5
analcatdata_broadwaymult.arff,0.8141,0.778384,0.7245654,0.8268676,0.7936,0.7807,0.7856,0.6874,0,0.4084,0.807839,0.7939,0.7936,0.7496437,0.7809243,0.8268676,0.3598,0.8268676,0.8268676,0.4869,0.7477,0.809488,0.7477,0.5,0.5,0.7509498,0.5
analcatdata_creditscore.arff,0.9871,0.9952381,0.9928571,0.9928571,0.9967,0.9632,0.9871,0.9871,0,0.9795,0.9928571,0.9272,0.9909,0.9928571,0.9928571,0.9928571,0.9866,0.9857143,0.9857143,0.9871,0.6139,0.9928571,0.6071,0.5,0.5,0.9928571,0.5
analcatdata_dmft.arff,0.5572,0.5553141,0.4956252,0.5,0.4907,0.4948,0.5378,0.4863,0,0.5565,0.5523743,0.5328,0.578,0.5,0.5303291,0.5130198,0.4963,0.5,0.5111588,0.4922,0.5,0.4977005,0.5,0.5,0.5,0.5017708,0.5
analcatdata_draft.arff,0.6171,0.6537285,0.4759803,0.5,0.6407,0.6425,0.4716,0.4716,0,0.6446,0.6442737,0.6383,0.6415,0.5,0.5,0.6566697,0.6462,0.5,0.6566697,0.4716,0.5,0.4916887,0.5,0.5,0.5,0.5,0.5
