name,AB_IG,BN_IG,DS_IG,DT_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,LMT_IG,Log_IG,LB_IG,MLP_IG,NB_IG,ONE_IG,PART_IG,RC_IG,RF_IG,RS_IG,RT_IG,REP_IG,SGD_IG,SL_IG,SVM_IG,STK_IG,VOTE_IG,VP_IG,ZERO_IG
2dplanes,0.9191289,0.9177016,0.8025106,0.9836378,0.9831204,0.9553286,0.9792148,0.9454325,0,0.9177793,0.9197004,0.8836308,0.7195182,0.8025106,0.9829982,0.9443835,0.9783436,0.9491791,0,0.9820606,0.8353035,0.9177552,0.8365623,0.5,0.5,0.8378035,0.5
ada_prior,0.8547692,0.89426,0.7475429,0.8707504,0.760873,0.6938827,0.8196336,0.7426958,0.8920878,0.8882084,0.8818483,0.852503,0.8827954,0.5936605,0.8258536,0.835765,0.8772744,0.8872276,0.716902,0.8375106,0.7590853,0.8950169,0.7434142,0.5,0.5,0.5289957,0.5
adult,0.8591324,0.9014929,0.7603404,0.8865595,0.8877298,0.7225224,0.875511,0.7426617,0.9114852,0.911535,0.8857853,0.8537645,0.9018806,0.5924484,0.8793202,0.8072659,0.8751206,0.9045107,0.7526373,0.8797777,0.7686008,0.9115953,0.7641564,0.5,0.5,0.5,0.5
adult-census,0.872693,0.9164094,0.7591759,0.8994885,0.858105,0.7120459,0.8914715,0.7488099,0.9079017,0.9048528,0.8985197,0.872294,0.8921231,0.6053005,0.8811937,0.875804,0.9037602,0.907259,0.752402,0.8755426,0.7563949,0.9054352,0.7534414,0.5,0.5,0.5744907,0.5
ailerons,0.9299388,0.821681,0.775172,0.9214728,0.8700701,0.8262653,0.8780472,0.8861904,0.9549368,0.9519101,0.9287098,0.9518248,0.8460188,0.7822161,0.9105967,0.9356729,0.9505734,0.9270235,0.7968144,0.9267157,0.8706045,0.9527978,0.8744894,0.5,0.5,0.5723618,0.5
analcatdata_apnea1,0.8983352,0.9107239,0.6967189,0.943641,0.9149439,0.8494144,0.912616,0.852773,0.9062041,0.9168507,0.8914151,0.9104627,0.9149439,0.5,0.9293649,0.8163085,0.9254743,0.943646,0.8145955,0.9126354,0.8675087,0.9153504,0.8675087,0.5,0.5,0.5237804,0.5
analcatdata_apnea2,0.941986,0.943162,0.7021196,0.9363871,0.9458769,0.8187185,0.9257937,0.9231757,0.9404134,0.9502808,0.9388163,0.9318429,0.9458769,0.5,0.9381873,0.8574913,0.9611933,0.9460658,0.8282909,0.9295684,0.9316784,0.9404134,0.9316784,0.5,0.5,0.5692219,0.5
analcatdata_apnea3,0.9017264,0.9219679,0.6685256,0.8314829,0.9183632,0.8175042,0.8910277,0.787124,0.9118652,0.9335469,0.908485,0.9018888,0.9183632,0.5,0.8898098,0.8180576,0.944376,0.9164956,0.7646817,0.9122542,0.8966667,0.9221088,0.8966667,0.5,0.5,0.5541025,0.5
analcatdata_authorship,0.9964878,1,0.8627611,0.9770182,0.9972338,0.9939582,0.9513067,0.960581,0.9998798,0.9998798,0.9975063,0.9998798,0.9971744,0.8676165,0.9656052,0.9963149,1,0.9989753,0.9320038,0.9581158,0.9920673,0.9998798,0.995553,0.5,0.5,0.9744913,0.5
analcatdata_birthday,0.9236424,0.8662567,0.9066836,0.7682595,0.9022648,0.8103462,0.7211997,0.7534811,0.9357931,0.7662097,0.93541,0.9157997,0.9209072,0.6783098,0.8710955,0.8514179,0.8969289,0.9233905,0.6985786,0.6109476,0.7097178,0.935148,0.6295062,0.5,0.5,0.5,0.5
analcatdata_boxing1,0.7977232,0.9075893,0.615,0.866875,0.8984821,0.8483928,0.8783482,0.7305804,0.8721875,0.8503571,0.919866,0.8950893,0.8984821,0.7716071,0.7391964,0.9217857,0.9225893,0.8783482,0.8096875,0.8566071,0.8219643,0.8625446,0.7903571,0.5,0.5,0.8429018,0.5
analcatdata_boxing2,0.7887755,0.8455357,0.5619048,0.8641794,0.8410714,0.7899021,0.8428996,0.8122024,0.8049531,0.8407737,0.8099276,0.815221,0.8410714,0.8294642,0.8494899,0.8526786,0.8505952,0.8518281,0.7994047,0.8570365,0.791369,0.8098851,0.8294642,0.5,0.5,0.7732143,0.5
analcatdata_broadwaymult,0.8190257,0.7826288,0.7245654,0.8094002,0.8096647,0.3840226,0.7851576,0.7712777,0.8248941,0.4496464,0.8266962,0.8536151,0.8101856,0.7496437,0.7617117,0.7278536,0.6058851,0.8127298,0.6140194,0.5,0.7690173,0.8275094,0.7719474,0.5,0.5,0.5,0.5
